time,timestamp,handedness,x_0,y_0,z_0,presence_0,visibility_0,x_1,y_1,z_1,presence_1,visibility_1,x_2,y_2,z_2,presence_2,visibility_2,x_3,y_3,z_3,presence_3,visibility_3,x_4,y_4,z_4,presence_4,visibility_4,x_5,y_5,z_5,presence_5,visibility_5,x_6,y_6,z_6,presence_6,visibility_6,x_7,y_7,z_7,presence_7,visibility_7,x_8,y_8,z_8,presence_8,visibility_8,x_9,y_9,z_9,presence_9,visibility_9,x_10,y_10,z_10,presence_10,visibility_10,x_11,y_11,z_11,presence_11,visibility_11,x_12,y_12,z_12,presence_12,visibility_12,x_13,y_13,z_13,presence_13,visibility_13,x_14,y_14,z_14,presence_14,visibility_14,x_15,y_15,z_15,presence_15,visibility_15,x_16,y_16,z_16,presence_16,visibility_16,x_17,y_17,z_17,presence_17,visibility_17,x_18,y_18,z_18,presence_18,visibility_18,x_19,y_19,z_19,presence_19,visibility_19,x_20,y_20,z_20,presence_20,visibility_20
1,2024-04-28T20:26:22.043309+00:00,Right,0.428428292274475,0.628297746181488,-4.77313108149247E-07,0,0,0.354979753494263,0.423786759376526,-0.027837248519063,0,0,0.27953976392746,0.267167687416077,-0.0416164323687553,0,0,0.196584537625313,0.144398510456085,-0.0520167574286461,0,0,0.157372117042542,0.0404314994812012,-0.05278505012393,0,0,0.182506158947945,0.476516753435135,-0.0294040199369192,0,0,0.107546225190163,0.491751372814178,-0.0702729150652885,0,0,0.175707653164864,0.475363522768021,-0.0873002856969833,0,0,0.229125931859016,0.452856004238129,-0.091526210308075,0,0,0.188683778047562,0.605450093746185,-0.0291406195610762,0,0,0.121775135397911,0.610736310482025,-0.0797653049230576,0,0,0.210535258054733,0.567649185657501,-0.100218705832958,0,0,0.25132942199707,0.532002985477448,-0.110426671802998,0,0,0.204320758581162,0.713110327720642,-0.0332707799971104,0,0,0.14693421125412,0.734538435935974,-0.0774664655327797,0,0,0.225477129220963,0.655308365821838,-0.0842405408620834,0,0,0.277496457099915,0.599782347679138,-0.0839024856686592,0,0,0.225877910852432,0.810732901096344,-0.0387112386524677,0,0,0.134294360876083,0.901340305805206,-0.0630575492978096,0,0,0.084663137793541,0.924688041210175,-0.0733838900923729,0,0,0.0228171050548553,0.94638204574585,-0.0813037380576134,0,0
2,2024-04-28T20:26:22.133712+00:00,Right,0.426240622997284,0.627340614795685,-4.74912894787849E-07,0,0,0.354566365480423,0.423546552658081,-0.0282233525067568,0,0,0.279342859983444,0.267310231924057,-0.041704174131155,0,0,0.197851628065109,0.145510822534561,-0.0520013682544231,0,0,0.15855860710144,0.0435487031936646,-0.0528344847261906,0,0,0.182168379426003,0.474733859300613,-0.02902109362185,0,0,0.107534803450108,0.491047501564026,-0.070955328643322,0,0,0.175362512469292,0.47477000951767,-0.0892780423164368,0,0,0.228794559836388,0.451911866664887,-0.094266764819622,0,0,0.188437104225159,0.604045510292053,-0.0290009509772062,0,0,0.121294759213924,0.61087042093277,-0.0809192359447479,0,0,0.209661841392517,0.567267656326294,-0.10241112858057,0,0,0.25143364071846,0.531327843666077,-0.112931862473488,0,0,0.2036472260952,0.712433755397797,-0.0335815027356148,0,0,0.146476179361343,0.734914064407349,-0.0793920680880547,0,0,0.224835753440857,0.6552654504776,-0.086993969976902,0,0,0.27710086107254,0.599332332611084,-0.0865918695926666,0,0,0.224812895059586,0.810646951198578,-0.0395042598247528,0,0,0.133914023637772,0.901508212089539,-0.0647016614675522,0,0,0.0844399183988571,0.925081729888916,-0.0752243176102638,0,0,0.022876039147377,0.946852684020996,-0.0829824432730675,0,0
3,2024-04-28T20:26:22.197663+00:00,Right,0.425667822360992,0.627562999725342,-4.72700008913307E-07,0,0,0.354714542627335,0.424084275960922,-0.0286950320005417,0,0,0.279243141412735,0.26719605922699,-0.0423228740692139,0,0,0.197750329971313,0.145546644926071,-0.0527167432010174,0,0,0.158419728279114,0.0434759259223938,-0.0536764413118362,0,0,0.181962132453918,0.474612295627594,-0.0296248961240053,0,0,0.107358247041702,0.491446733474731,-0.0717976987361908,0,0,0.175235912203789,0.475044786930084,-0.0902032926678658,0,0,0.228585228323936,0.451599180698395,-0.0952236354351044,0,0,0.188399657607079,0.604034125804901,-0.0295488517731428,0,0,0.121306180953979,0.611254930496216,-0.0817548632621765,0,0,0.209486693143845,0.567309617996216,-0.103299900889397,0,0,0.251228153705597,0.531131207942963,-0.113767527043819,0,0,0.20355586707592,0.712602972984314,-0.0341397486627102,0,0,0.146420910954475,0.735258340835571,-0.0804425626993179,0,0,0.224829867482185,0.655286610126495,-0.0882728770375252,0,0,0.277016788721085,0.598982214927673,-0.087866798043251,0,0,0.224659562110901,0.810942828655243,-0.0400846526026726,0,0,0.133825749158859,0.901776790618897,-0.0655292421579361,0,0,0.0843105390667915,0.925473034381867,-0.0761381983757019,0,0,0.0226913392543793,0.947412014007568,-0.0838940888643265,0,0
4,2024-04-28T20:26:22.259406+00:00,Right,0.425611436367035,0.627577185630798,-4.73454889515779E-07,0,0,0.354751288890839,0.424058735370636,-0.0287049133330584,0,0,0.279303938150406,0.267147690057755,-0.0423063263297081,0,0,0.197782248258591,0.145613223314285,-0.0527122169733048,0,0,0.158478498458862,0.0435690879821777,-0.0536813624203205,0,0,0.181928932666779,0.47428297996521,-0.0293849594891071,0,0,0.10732863098383,0.491327673196793,-0.0717203691601753,0,0,0.175277292728424,0.475150227546692,-0.0902402922511101,0,0,0.228651225566864,0.451661854982376,-0.0952887311577797,0,0,0.188338056206703,0.603822469711304,-0.0293276906013489,0,0,0.121247507631779,0.611259579658508,-0.0816014185547829,0,0,0.209444940090179,0.567406058311462,-0.10310123115778,0,0,0.251158088445663,0.531075954437256,-0.11348058283329,0,0,0.203482076525688,0.712518870830536,-0.0339964367449284,0,0,0.146420180797577,0.735283076763153,-0.0804343223571777,0,0,0.224891811609268,0.655358195304871,-0.0882409289479256,0,0,0.277077078819275,0.598913908004761,-0.0877391248941422,0,0,0.224582225084305,0.811006724834442,-0.0400257147848606,0,0,0.13378544151783,0.901766657829285,-0.0655210614204407,0,0,0.0842684507369995,0.925545573234558,-0.0760987251996994,0,0,0.0226676166057587,0.947453379631043,-0.083785280585289,0,0
5,2024-04-28T20:26:22.313733+00:00,Right,0.427602469921112,0.628256499767304,-4.80606104247272E-07,0,0,0.354630589485168,0.4233558177948,-0.0279989037662745,0,0,0.279486358165741,0.266647666692734,-0.0419155992567539,0,0,0.196382477879524,0.143997073173523,-0.0523761548101902,0,0,0.157416105270386,0.0395573377609253,-0.0532033629715443,0,0,0.182789951562881,0.47617369890213,-0.0301928780972958,0,0,0.107772268354893,0.491604328155518,-0.0709891319274902,0,0,0.175926297903061,0.475104004144669,-0.0877247601747513,0,0,0.229263633489609,0.452887088060379,-0.0917717441916466,0,0,0.188627675175667,0.605421483516693,-0.0298117063939571,0,0,0.121874749660492,0.610961019992828,-0.0801509991288185,0,0,0.210656628012657,0.567991197109222,-0.100059479475021,0,0,0.251196146011353,0.532269656658173,-0.110002607107162,0,0,0.204189613461494,0.713077247142792,-0.0338033884763718,0,0,0.14682625234127,0.734507203102112,-0.0777610465884209,0,0,0.225403964519501,0.655784726142883,-0.083968997001648,0,0,0.277351081371307,0.600593090057373,-0.0833480134606361,0,0,0.225702628493309,0.810831785202026,-0.0391376428306103,0,0,0.134117633104324,0.901360273361206,-0.063567653298378,0,0,0.0844981446862221,0.924779534339905,-0.0737444385886192,0,0,0.0225840061903,0.946571469306946,-0.0815619602799416,0,0
6,2024-04-28T20:26:22.375455+00:00,Right,0.42709082365036,0.627963960170746,-4.80194501051301E-07,0,0,0.354563057422638,0.423478245735168,-0.0280459560453892,0,0,0.279492348432541,0.266744554042816,-0.0417991541326046,0,0,0.196788713335991,0.144425004720688,-0.0521969720721245,0,0,0.157723277807236,0.0405556559562683,-0.0530237853527069,0,0,0.18266099691391,0.475776642560959,-0.0296881832182407,0,0,0.107651256024838,0.491493195295334,-0.0709135681390762,0,0,0.175756201148033,0.475083500146866,-0.0882014781236649,0,0,0.229187563061714,0.452594757080078,-0.0925527438521385,0,0,0.188637793064117,0.604966163635254,-0.029438266530633,0,0,0.121752351522446,0.610994100570679,-0.080378070473671,0,0,0.210443288087845,0.567905783653259,-0.100858092308044,0,0,0.251405596733093,0.532183945178986,-0.111006461083889,0,0,0.20412740111351,0.712831497192383,-0.0336368344724178,0,0,0.146701127290726,0.734707117080689,-0.0782514363527298,0,0,0.225219741463661,0.655853748321533,-0.084902286529541,0,0,0.277206391096115,0.600375413894653,-0.0843288153409958,0,0,0.225571528077126,0.81072998046875,-0.0391741208732128,0,0,0.134107187390327,0.901355028152466,-0.0638517886400223,0,0,0.0845415592193604,0.924767792224884,-0.0741029605269432,0,0,0.0227106660604477,0.946483075618744,-0.0818649157881737,0,0
7,2024-04-28T20:26:22.434427+00:00,Right,0.427036345005035,0.627947270870209,-4.80093490295985E-07,0,0,0.354579329490662,0.423464924097061,-0.0280455704778433,0,0,0.279486536979675,0.266716063022614,-0.0417898669838905,0,0,0.196796610951424,0.14440992474556,-0.052187729626894,0,0,0.157728672027588,0.040548712015152,-0.0530252456665039,0,0,0.18266686797142,0.475726664066315,-0.0296842884272337,0,0,0.107648305594921,0.491483986377716,-0.0709103420376778,0,0,0.175752863287926,0.47505995631218,-0.0882068872451782,0,0,0.229191392660141,0.452557951211929,-0.0925658643245697,0,0,0.188646793365479,0.604926347732544,-0.0294523350894451,0,0,0.121744439005852,0.610983490943909,-0.0804000645875931,0,0,0.210410326719284,0.567861437797546,-0.100889287889004,0,0,0.251411527395248,0.532169461250305,-0.111038707196713,0,0,0.204119578003883,0.712814450263977,-0.0336724556982517,0,0,0.146667405962944,0.734681069850922,-0.0783162713050842,0,0,0.225188374519348,0.655814349651337,-0.0849847570061684,0,0,0.277199506759644,0.600362062454224,-0.0844112187623978,0,0,0.225548401474953,0.810738742351532,-0.0392313078045845,0,0,0.134103655815125,0.901366591453552,-0.0639282315969467,0,0,0.0845343843102455,0.924769759178162,-0.0741885751485825,0,0,0.0227084904909134,0.946479558944702,-0.0819529145956039,0,0
8,2024-04-28T20:26:22.510225+00:00,Right,0.42702242732048,0.627937614917755,-4.79912330320076E-07,0,0,0.354598999023438,0.423490911722183,-0.0280638560652733,0,0,0.279488563537598,0.266710013151169,-0.041812539100647,0,0,0.196799203753471,0.144405990839005,-0.0522169210016727,0,0,0.157724365592003,0.0405294895172119,-0.0530660413205624,0,0,0.182658061385155,0.475712150335312,-0.0296815689653158,0,0,0.107637688517571,0.491493225097656,-0.0709181055426598,0,0,0.175747245550156,0.475071728229523,-0.0882302671670914,0,0,0.229194775223732,0.452551931142807,-0.0925969630479813,0,0,0.188647776842117,0.604922771453857,-0.0294537600129843,0,0,0.121736899018288,0.611013412475586,-0.0804178863763809,0,0,0.210391789674759,0.567862510681152,-0.100920900702477,0,0,0.251424938440323,0.532172441482544,-0.111070357263088,0,0,0.204117968678474,0.71282970905304,-0.0336835756897926,0,0,0.146657854318619,0.734711289405823,-0.078353688120842,0,0,0.225178435444832,0.655831575393677,-0.085041344165802,0,0,0.277202546596527,0.600372135639191,-0.084467925131321,0,0,0.225546196103096,0.810753345489502,-0.0392533428966999,0,0,0.13410484790802,0.901383399963379,-0.0639544948935509,0,0,0.0845316872000694,0.92478346824646,-0.0742160975933075,0,0,0.0227130651473999,0.946487188339233,-0.0819771215319634,0,0
9,2024-04-28T20:26:22.587027+00:00,Right,0.42746514081955,0.628311455249786,-4.79445191103878E-07,0,0,0.354999721050262,0.423687517642975,-0.0283940192312002,0,0,0.279554307460785,0.266720771789551,-0.0423676297068596,0,0,0.1965691447258,0.144032776355743,-0.0529078878462315,0,0,0.157426461577415,0.0397462546825409,-0.0538157783448696,0,0,0.182729363441467,0.475763201713562,-0.0301978159695864,0,0,0.107539460062981,0.491760194301605,-0.0713139250874519,0,0,0.175969898700714,0.475450962781906,-0.0881609916687012,0,0,0.229337245225906,0.453143179416657,-0.0921658203005791,0,0,0.188593327999115,0.604803264141083,-0.0298426449298859,0,0,0.121597431600094,0.611153841018677,-0.0806858614087105,0,0,0.210417926311493,0.568257689476013,-0.100690737366676,0,0,0.251123309135437,0.532792448997498,-0.110434994101524,0,0,0.20404389500618,0.712756872177124,-0.0339801497757435,0,0,0.146700710058212,0.734670877456665,-0.0787264481186867,0,0,0.225438490509987,0.655998349189758,-0.085130125284195,0,0,0.277303695678711,0.600923776626587,-0.0842769294977188,0,0,0.225458011031151,0.810917973518372,-0.0394652038812637,0,0,0.133882775902748,0.901694357395172,-0.0642589032649994,0,0,0.0842439979314804,0.925038456916809,-0.074451170861721,0,0,0.022313728928566,0.946967899799347,-0.0820948258042336,0,0
10,2024-04-28T20:26:22.650145+00:00,Right,0.426705300807953,0.628137707710266,-4.75518504572392E-07,0,0,0.354680836200714,0.423568189144135,-0.0285094361752272,0,0,0.279358685016632,0.266443371772766,-0.0424755364656448,0,0,0.197026923298836,0.144024521112442,-0.05309833958745,0,0,0.157853007316589,0.0405245423316956,-0.0542084760963917,0,0,0.182471454143524,0.475387930870056,-0.030277444049716,0,0,0.107505232095718,0.491479218006134,-0.0716110691428185,0,0,0.175672724843025,0.475050270557404,-0.0888093188405037,0,0,0.229072704911232,0.452566385269165,-0.0930527299642563,0,0,0.188475668430328,0.604456543922424,-0.0301164854317904,0,0,0.121530905365944,0.611135363578796,-0.0813493356108666,0,0,0.210032686591148,0.56788444519043,-0.101788423955441,0,0,0.251236587762833,0.532254755496979,-0.111748777329922,0,0,0.203842237591743,0.712685704231262,-0.0344780497252941,0,0,0.146606475114822,0.734890103340149,-0.0797254145145416,0,0,0.225110530853271,0.655839920043945,-0.0865320786833763,0,0,0.277087301015854,0.600436568260193,-0.085814505815506,0,0,0.225232899188995,0.810884475708008,-0.0401956588029861,0,0,0.133840501308441,0.901777982711792,-0.0652176067233086,0,0,0.0842000395059586,0.925094068050385,-0.0754747167229652,0,0,0.0223513394594193,0.94699227809906,-0.0831312835216522,0,0
